序号,UID,测试名称,指标名称,函数,维度,错误信息,分类,状态
8612,4dfcea79808f9fe6,testTitanQueryVsQueryService,one.query.rum.h5.fcp,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8613,7f1caa9fa0756288,testTitanQueryVsQueryService,one.query.rum.h5.jserrorNum,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8614,5d1d6c5f255fbe32,testTitanQueryVsQueryService,one.query.rum.h5.jserrorNum,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8615,fbff870a0ed3ea3d,testTitanQueryVsQueryService,one.query.rum.h5.jserrorNum,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8616,46434516d6b16b04,testTitanQueryVsQueryService,one.query.rum.h5.jserrorNum,channel,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8617,6f020ddf63a808da,testTitanQueryVsQueryService,one.query.rum.h5.jserrorNum,clientOsName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8618,700ab3dbbca6e861,testTitanQueryVsQueryService,one.query.rum.h5.jserrorNum,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8619,f88ab0d1a7f670e9,testTitanQueryVsQueryService,one.query.rum.h5.jserrorNum,dataSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8620,6f4790afd10286bd,testTitanQueryVsQueryService,one.query.rum.h5.jserrorNum,envId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8621,9b6dbb11901a6598,testTitanQueryVsQueryService,one.query.rum.h5.jserrorNum,moduleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8622,431533828092acda,testTitanQueryVsQueryService,one.query.rum.h5.jserrorNum,sdkVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8623,94152c0637432d24,testTitanQueryVsQueryService,one.query.rum.h5.jserrorNum,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8624,c0c0afe13ac77696,testTitanQueryVsQueryService,one.query.rum.h5.jserrorNum,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8625,445ca2a61200dd75,testTitanQueryVsQueryService,one.query.rpc.call.detail.slowErrorCount,callType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8626,9955113b264f3c75,testTitanQueryVsQueryService,one.query.rpc.call.detail.slowErrorCount,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8627,254ec4887b47c591,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,actionHealthyStatus,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8628,244e0912629f1a4b,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,actionType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8629,3b6f771b0f611a7c,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8630,801a23cb12fe0408,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8631,cafc126fdaa40402,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8632,d97386d9f55f12e6,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,channel,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8633,352629c253ce2981,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,clientBrandName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8634,28d5e301138c32c1,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,clientOsName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8635,730101978376c298,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8636,7a1b55b0f1aa487d,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,dataSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8637,560a3af4cc720c8,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,envId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8638,e94a81607aa68e6f,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,moduleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8639,7d81289869b8877b,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,pageId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8640,7626f0d6d9a36c9e,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,pageName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8641,6fe3c6afebcd8979,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,sdkVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8642,6992e0d9bdf3aa1d,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8643,ab2be1e0ec751401,testTitanQueryVsQueryService,one.query.rum.action.slowSessionIdUniq12_errorRequestSessionIdUniq12,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8644,f05c1dbc95139f5b,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,accessModelId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8645,b4b56ea00e6a5968,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8646,c1a0014b985acbc3,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,appLaunchStatus,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8647,2e1c40c4b2f67552,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8648,ab981539d04f5584,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8649,168a3e27240430f3,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,channel,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8650,3a7969fcb04c269b,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,cityId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8651,6e65cfea9b3d9f2f,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,clientBrandName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8652,945cab8b0d06414d,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,clientDeviceName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8653,ce55fce5544619b,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,clientOsName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8654,f043bad92c4d6be8,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,countryId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8655,b6aee62878932918,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8656,9bf2cd765698cfc1,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,dataSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8657,4cf5f75d9b3c237c,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,districtId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8658,110b1f436a1dfbc1,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,envId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8659,97e21b5b24291f8a,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,moduleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8660,edea5e2382164e4f,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,sdkVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8661,830f1cee6535c6ee,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,netserviceId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8662,585694c193aa75a3,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8663,8e8f3222ce2ee132,testTitanQueryVsQueryService,one.query.rum.launch.launchTime,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8664,1ff9942d2f9b506b,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,accessModelId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8665,4e0676b338fbe496,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8666,7ce49e29359cfb68,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8667,8d3c9a6471854b9e,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8668,f3b331a1f9a2996d,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,channel,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8669,33692b5c9e298e1d,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,cityId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8670,941343c1f1b729e,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,clientBrandName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8671,d69d0fdca42146b0,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,clientDeviceName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8672,27a606cdbbb560fd,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,clientOsName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8673,fc7930a4f48359d5,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,countryId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8674,dc394768d3f88bea,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8675,a3f8d8b8c2cc6fe1,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,districtId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8676,62f564a4142dd1df,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,dataSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8677,de23d8f94528312d,testTitanQueryVsQueryService,one.query.rum.terminal.healthActionNum,envId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
